봉오동 전투,1,하지만 미국의 원폭으로 독립했지. 독립운동하다가 학살만 당함
판도라,1,우리 후손들 원전없는 세상에서 빚더미 안겨주자
인형의 집으로 오세요,10,사랑받고싶어하는 인간의 본능과 현실을 1990년대 미국 청소년 던이라는 왕따소녀를 통해 잘 담아낸 영화 ㅎ
변신,1,진짜 어지간하면 그냥 좋게 쓰려고 했는데... 아무리 생각해도 둘째 딸을 지하실로 쳐 보내놓고 가족들 전부 기억에서 지워진 마냥 언급도 찾을 생각도 안하는거 보고 너무 얼척이 없네...
그것: 두 번째 이야기,10,근데 왜 니가 나한테 왜 이렇게
안녕 베일리,10,잔잔하며. 편안하게 볼 수 있어요.특히 화면 색상이 너무 이뻐요 ^-^
그것: 두 번째 이야기,10,방금 조조로 봤는데 너무 스토리가 좋네요. 티비판은 1부가 재미있고 리메이크판은 2부가 재미있어요
웰컴 투 동막골,1,개돼지들 선동하기 딱 좋은 반미빨갱이영화
롱 샷,10,영어 배우고 싶어지는 영화
그것: 두 번째 이야기,5,1편보다 징그러워졌을 뿐 나은건 없다
엑시트,8,굿~ 잼남 운동 열심히 항상건강하시고
미이라 리턴즈,1,헐재미1도없음~!!!
벌새,10,모든 장면 하나 하나 소중한 영화네요. 2시간 넘게 쭉 몰입해서 봄..
폐교,1,죄를지었으면 볼을받아야지~~!! ㅋㅋㅋㅋ 암만돈적게쓰고 만드는 공포물이라지만 비싼연기자는못쓰더라도 오디션은 보고찍어야지... 영화라보기에도 머한....
레드슈즈,10,평론가 평점 뭐지? 완성도 높고 재미만 좋더만...내용도 충실하고 전개하는 속도감도 좋고.우리나라 애니메이션이 이정도라니 많이 놀랐네요. 앞으로 많은 작품 기대되요.
유열의 음악앨범,1,믿거 나말거나 fucX
카페 소사이어티,10,"도덕적,보수적이고 연애경험별로없는 사람은 비추. 연애뭐바람이며 사랑이며 많은 경험이있는 사람에겐 여운과 공감을 줄듯.,"
항거:유관순 이야기,10,"보는내내 화가 치밀어 오네요역사를 바로 잡아, 잊지말아야할것같습니다"
아름다운 청년 전태일,2,Humm..??!!?!?!?
기방도령,4,"이준호때문에 4점 극장서 봤으면 눈물날뻔,,, 진짜 재미없다"
버닝,10,종수같은청년들이 많으니까더슬프다..
